,labeled_percent,can_plot,corruption_level,aff_dist_func,aff_sigma,algorithm,dataset,aff_k,aff_mask_func,elapsed_time,experiments,mean_acc,sd_acc
0,0.01,False,0.4,gaussian,0.2,RF,spiral,15.0,knn,0.06715607643127441,20,0.5287666666666667,0.0676258579736085
1,0.1,False,0.35,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.0957016944885254,20,0.7121500000000001,0.035584090546197746
2,0.05,False,0.2,gaussian,0.2,RF,spiral_hard,15.0,knn,0.05968141555786133,20,0.7743666666666665,0.02970781790109204
3,0.05,False,0.25,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08980607986450195,20,0.8331000000000002,0.03328197710473342
4,0.05,False,0.4,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06514477729797362,20,0.6006333333333334,0.040418628818350025
5,0.05,False,0.15,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08276915550231934,20,0.9172500000000001,0.03580485302301912
6,0.1,False,0.1,gaussian,0.2,RF,spiral,15.0,knn,0.06965875625610353,20,0.9194000000000001,0.018550711277169125
7,0.5,False,0.4,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.07268166542053223,20,0.6390500000000001,0.011715267815974156
8,0.01,False,0.4,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08364248275756836,20,0.596,0.14325222511360863
9,0.5,False,0.15,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.07761979103088379,20,0.9009500000000001,0.004852576635149623
10,0.5,False,0.2,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.12639355659484866,20,0.8615499999999999,0.0072213225935419895
11,0.01,False,0.4,gaussian,0.2,RF,spiral_hard,15.0,knn,0.07581853866577147,20,0.5265666666666667,0.06292898113482108
12,0.05,False,0.4,gaussian,0.2,RF,spiral,15.0,knn,0.07984304428100586,20,0.5964666666666667,0.03682879308367299
13,0.05,False,0.1,gaussian,0.2,RF,spiral_hard,15.0,knn,0.06860041618347168,20,0.8419000000000001,0.03239909120810506
14,0.05,False,0.35,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.09347152709960938,20,0.7274,0.050456317741190755
15,0.1,False,0.1,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.0565786361694336,20,0.9621000000000001,0.01112609545168474
16,0.05,False,0.0,gaussian,0.2,RF,spiral_hard,15.0,knn,0.09271669387817384,20,0.8987999999999998,0.02755971294802936
17,0.05,False,0.35,gaussian,0.2,RF,spiral,15.0,knn,0.07064986228942871,20,0.6530333333333334,0.04757425774512936
18,0.05,False,0.1,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.09039568901062013,20,0.9386999999999999,0.029879926372064592
19,0.1,False,0.35,gaussian,0.2,RF,spiral,15.0,knn,0.09532880783081056,20,0.6873333333333334,0.027518074868065255
20,0.05,False,0.3,gaussian,0.2,RF,spiral,15.0,knn,0.08063125610351562,20,0.7051,0.04964016071242674
21,0.5,False,0.4,gaussian,0.2,RF,spiral_hard,15.0,knn,0.16933059692382812,20,0.6265666666666665,0.011217595305788326
22,0.5,False,0.2,gaussian,0.2,RF,spiral_hard,15.0,knn,0.10609674453735353,20,0.8420333333333332,0.006509736297782475
23,0.5,False,0.3,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.12711739540100098,20,0.7574,0.01137717012266231
24,0.05,False,0.15,gaussian,0.2,RF,spiral,15.0,knn,0.07677292823791504,20,0.8200666666666667,0.044642232122608844
25,0.5,False,0.4,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.13359785079956055,20,0.6323000000000001,0.012062752588028986
26,0.5,False,0.3,gaussian,0.2,RF,spiral_hard,15.0,knn,0.10669231414794922,20,0.742,0.009169999394159675
27,0.01,False,0.25,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08794856071472168,20,0.8991999999999999,0.05728577484856081
28,0.1,False,0.15,gaussian,0.2,RF,spiral,15.0,knn,0.07088541984558105,20,0.8876999999999999,0.022001489848543304
29,0.5,False,0.15,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.08047199249267578,20,0.9028,0.004791659420284371
30,0.05,False,0.0,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.05552840232849121,20,0.9909000000000001,0.005402777063696036
31,0.1,False,0.4,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.061734914779663086,20,0.644,0.034419471233591035
32,0.1,False,0.2,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.06296730041503906,20,0.8999,0.01922992459683605
33,0.5,False,0.3,gaussian,0.2,RF,spiral,15.0,knn,0.14237165451049805,20,0.7470333333333333,0.005356097252457033
34,0.1,False,0.25,gaussian,0.2,RF,gaussians_sd=1,15.0,knn,0.06090545654296875,20,0.8442000000000001,0.030094185484907218
35,0.01,False,0.0,gaussian,0.2,RF,spiral_hard,15.0,knn,0.05685997009277344,20,0.6650333333333334,0.03962180937031749
36,0.1,False,0.0,gaussian,0.2,RF,gaussians_sd=3,15.0,knn,0.08405566215515138,20,0.9929500000000001,0.0037479994663820173
37,0.05,False,0.35,gaussian,0.2,RF,gaussians_sd=2,15.0,knn,0.08959722518920897,20,0.6971,0.04550043955831634
