,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
0,gaussian,15.0,knn,0.2,GTAM,,False,0.3,gaussian,2.0,5.420565366744995,0.1,99.0,0.0,20,0.60515,0.07333094503686693
1,gaussian,15.0,knn,0.2,GTAM,,False,0.35,gaussian,2.0,6.82756495475769,0.1,99.0,0.0,20,0.55955,0.10603370926266796
2,gaussian,15.0,knn,0.2,GTAM,,False,0.35,gaussian,0.4,6.3284170627593985,0.1,99.0,0.0,20,0.9149999999999998,0.10594621276855536
3,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,3.0,1.6187374591827393,0.1,99.0,2.0,20,0.5417500000000001,0.07815489428052474
4,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,gaussian,0.4,4.4591224193573,0.1,,,20,0.9788,0.00790948797331409
5,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,gaussian,0.4,2.7083053588867188,0.1,,,20,0.9936,0.002517935662402832
6,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,gaussian,3.0,2.7628772258758545,0.1,,,20,0.5422,0.02119103584065676
7,gaussian,15.0,knn,0.2,RF,,False,0.0,gaussian,0.4,0.2724423408508301,0.1,,,20,0.9855499999999997,0.006184456322103003
8,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,gaussian,3.0,0.24266839027404785,0.1,,,20,0.5978000000000001,0.044413511457663424
9,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,3.0,5.4188504219055185,0.1,99.0,1.0,20,0.5495500000000001,0.08247937621005628
10,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,gaussian,0.4,4.351830959320068,0.1,,,20,0.67255,0.023890322308416
11,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussian,3.0,6.182919025421143,0.1,99.0,0.0,20,0.6303500000000001,0.05452364166120969
12,gaussian,15.0,knn,0.2,RF,,False,0.15,gaussian,0.4,0.09253430366516112,0.1,,,20,0.9127000000000001,0.024607112792849134
13,gaussian,15.0,knn,0.2,RF,,False,0.35,gaussian,3.0,0.3839528560638428,0.1,,,20,0.5256000000000001,0.024325706567333235
14,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,2.0,1.7524220943450928,0.1,99.0,2.0,20,0.5502999999999999,0.12482511766467518
15,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,gaussian,1.0,2.635981559753418,0.1,,,20,0.8428000000000001,0.009851903369400224
16,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.3,gaussian,2.0,2.0435922145843506,0.1,,,20,0.5597,0.02381827029823953
17,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussian,1.0,5.795466661453247,0.1,99.0,1.0,20,0.7681500000000001,0.13210120173563905
18,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussian,3.0,2.8714475631713867,0.1,,,20,0.57265,0.021024450052260585
19,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,gaussian,3.0,2.662082433700561,0.1,,,20,0.5527,0.02324456925821598
20,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.3,gaussian,3.0,0.8774304389953613,0.1,,,20,0.5405,0.02148371476258237
21,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,gaussian,3.0,1.3970959186553955,0.1,,,20,0.5909500000000001,0.03217215410879414
22,gaussian,15.0,knn,0.2,LGC,0.2,False,0.15,gaussian,2.0,4.15366530418396,0.1,,,20,0.6129499999999999,0.024970933102309176
23,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,gaussian,2.0,4.520610332489014,0.1,,,20,0.58395,0.028606773673380218
24,gaussian,15.0,knn,0.2,RF,,False,0.4,gaussian,0.4,0.407048225402832,0.1,,,20,0.6546000000000001,0.04438625913500709
25,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussian,2.0,5.038543701171875,0.1,99.0,0.0,20,0.6962500000000001,0.028951468011138924
26,gaussian,15.0,knn,0.2,LDST,,False,0.0,gaussian,3.0,1.6519231796264648,0.1,99.0,2.0,20,0.6303500000000001,0.05452364166120969
27,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,gaussian,3.0,2.16479229927063,0.1,,,20,0.59425,0.022362636248886226
28,gaussian,15.0,knn,0.2,GTAM,,False,0.4,gaussian,0.4,6.1090240478515625,0.1,99.0,0.0,20,0.9130499999999999,0.11151657948484611
29,gaussian,15.0,knn,0.2,GTAM,,False,0.15,gaussian,3.0,5.243031740188599,0.1,99.0,0.0,20,0.58375,0.059724262239059925
30,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussian,0.4,6.336336374282838,0.1,99.0,2.0,20,0.9273500000000002,0.1681226561174906
31,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,gaussian,2.0,1.9271752834320068,0.1,,,20,0.59805,0.06347241526836679
32,gaussian,15.0,knn,0.2,LGC,0.2,False,0.15,gaussian,3.0,1.2904267311096191,0.1,,,20,0.5699,0.02602095309553438
33,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,3.0,5.607994794845581,0.1,99.0,1.0,20,0.5100999999999999,0.09827405557928295
34,gaussian,15.0,knn,0.2,RF,,False,0.4,gaussian,2.0,0.3201303482055664,0.1,,,20,0.5325,0.03249230678175989
