,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
0,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,gaussian,0.4,2.8909070491790767,0.1,,,20,0.8662000000000001,0.022842066456430762,"[0.8190000000000001, 0.8420000000000001, 0.8490000000000001, 0.8490000000000001, 0.8490000000000001, 0.851, 0.851, 0.8540000000000001, 0.862, 0.866, 0.867, 0.868, 0.87, 0.871, 0.873, 0.8740000000000001, 0.888, 0.889, 0.915, 0.917]",0.8190000000000001,0.917,0.8665
1,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussian,0.4,10.607248306274414,0.1,99.0,0.25,20,0.7124500000000001,0.36122838689671116,"[0.061, 0.061, 0.064, 0.064, 0.27699999999999997, 0.7070000000000001, 0.7390000000000001, 0.7759999999999999, 0.9540000000000001, 0.956, 0.956, 0.9570000000000001, 0.9570000000000001, 0.958, 0.958, 0.9590000000000001, 0.9590000000000001, 0.961, 0.9620000000000001, 0.963]",0.061,0.963,0.956
2,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussian,2.0,15.507796049118042,0.1,99.0,2.0,20,0.5903999999999999,0.0945713487267682,"[0.396, 0.39899999999999997, 0.449, 0.467, 0.49, 0.5589999999999999, 0.5770000000000001, 0.597, 0.614, 0.628, 0.637, 0.649, 0.653, 0.654, 0.655, 0.6629999999999999, 0.665, 0.67, 0.693, 0.693]",0.396,0.693,0.6325000000000001
3,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussian,0.4,14.098198652267456,0.1,99.0,2.0,20,0.9016,0.2073944068676877,"[0.055999999999999994, 0.7440000000000001, 0.7759999999999999, 0.802, 0.973, 0.9740000000000001, 0.975, 0.975, 0.976, 0.976, 0.976, 0.977, 0.977, 0.978, 0.978, 0.9790000000000001, 0.98, 0.982, 0.985, 0.993]",0.055999999999999994,0.993,0.976
4,gaussian,15.0,knn,0.2,RF,,False,0.0,gaussian,0.4,0.6112148761749268,0.1,,,20,0.98575,0.006905613658466565,"[0.9670000000000001, 0.97, 0.978, 0.98, 0.985, 0.985, 0.985, 0.986, 0.986, 0.988, 0.988, 0.9890000000000001, 0.9890000000000001, 0.9890000000000001, 0.99, 0.991, 0.991, 0.992, 0.993, 0.993]",0.9670000000000001,0.993,0.988
5,gaussian,15.0,knn,0.2,GTAM,,False,0.4,gaussian,1.0,11.886016607284546,0.1,99.0,0.0,20,0.58335,0.2017583393567661,"[0.207, 0.27899999999999997, 0.293, 0.297, 0.337, 0.41600000000000004, 0.525, 0.536, 0.584, 0.647, 0.677, 0.6890000000000001, 0.731, 0.7340000000000001, 0.7509999999999999, 0.755, 0.77, 0.8059999999999999, 0.812, 0.821]",0.207,0.821,0.662
6,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.35,gaussian,0.4,4.60810136795044,0.1,,,20,0.9932999999999998,0.0026095976701399743,"[0.988, 0.9890000000000001, 0.99, 0.99, 0.991, 0.991, 0.992, 0.993, 0.993, 0.9940000000000001, 0.9940000000000001, 0.995, 0.995, 0.995, 0.995, 0.996, 0.996, 0.996, 0.996, 0.997]",0.988,0.997,0.9940000000000001
7,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,gaussian,1.0,3.3323216438293457,0.1,,,20,0.69465,0.029107172655550035,"[0.627, 0.647, 0.657, 0.6729999999999999, 0.677, 0.685, 0.69, 0.691, 0.6920000000000001, 0.6940000000000001, 0.695, 0.695, 0.7, 0.703, 0.71, 0.7120000000000001, 0.725, 0.737, 0.738, 0.745]",0.627,0.745,0.6945
8,gaussian,15.0,knn,0.2,RF,,False,0.2,gaussian,1.0,0.6671528816223145,0.1,,,20,0.7517499999999999,0.018970701094055527,"[0.716, 0.722, 0.732, 0.737, 0.737, 0.74, 0.74, 0.74, 0.7440000000000001, 0.7559999999999999, 0.7559999999999999, 0.757, 0.759, 0.76, 0.7609999999999999, 0.764, 0.769, 0.7709999999999999, 0.778, 0.7959999999999999]",0.716,0.7959999999999999,0.7559999999999999
9,gaussian,15.0,knn,0.2,RF,,False,0.0,gaussian,2.0,0.4536821842193604,0.1,,,20,0.6642999999999999,0.023136767276350417,"[0.619, 0.632, 0.633, 0.64, 0.643, 0.655, 0.659, 0.6609999999999999, 0.662, 0.6629999999999999, 0.664, 0.665, 0.6709999999999999, 0.674, 0.674, 0.677, 0.6829999999999999, 0.7, 0.701, 0.71]",0.619,0.71,0.6635
