,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
0,gaussian,15.0,knn,0.2,LGC,0.99,False,0.2,gaussians_sd=2,4.839906930923462,0.1,,,20,1.0,0.0
1,gaussian,15.0,knn,0.2,GTAM,,False,0.0,gaussians_sd=2,20.15051007270813,0.01,99.0,0.0,20,1.0,0.0
2,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,gaussians_sd=0.4,7.782962322235107,0.01,,,20,0.9903500000000001,0.00936095614774474
3,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussians_sd=3,6.8586885929107675,0.01,,,20,0.8411500000000001,0.06227621937786526
4,gaussian,15.0,knn,0.2,LDST,,False,0.15,gaussians_sd=2,9.725674629211426,0.05,99.0,1.0,20,0.9591,0.16084803387048288
5,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=3,10.327890157699583,0.05,99.0,1.0,20,0.9812,0.05328283025515817
6,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,gaussians_sd=2,8.62456226348877,0.01,,,20,0.6146499999999999,0.06604489003700437
7,gaussian,15.0,knn,0.2,LGC,0.9,False,0.2,gaussians_sd=2,5.79633641242981,0.01,,,20,0.8539000000000001,0.06242107016064369
8,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,gaussians_sd=0.4,5.645895004272461,0.05,,,20,1.0,0.0
9,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=2,19.34834718704224,0.05,99.0,0.5,20,0.7485,0.3214223856547642
10,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,gaussians_sd=0.4,8.637535810470581,0.1,,,20,0.61655,0.022981459918812827
11,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,gaussians_sd=3,8.214942216873169,0.1,,,20,0.8342,0.02258893534454426
12,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,gaussians_sd=3,7.357958793640138,0.05,,,20,0.9989999999999999,2.220446049250313e-16
13,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussians_sd=3,21.152788639068607,0.1,99.0,0.5,20,0.9007999999999999,0.20929586713549794
14,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,gaussians_sd=2,9.394064903259276,0.01,,,20,0.7957,0.06181108314857456
15,gaussian,15.0,knn,0.2,LGC,0.99,False,0.2,gaussians_sd=3,9.034840345382689,0.01,,,20,0.9819999999999999,0.01681368490248344
16,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,3.4679198265075684,0.05,99.0,1.0,20,0.8522500000000001,0.2622635840142508
17,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussians_sd=1,7.5563814640045175,0.05,99.0,0.25,20,0.65,0.35470804896421504
18,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,gaussians_sd=3,8.853716135025023,0.1,,,20,0.6095,0.019327441631007445
19,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,gaussians_sd=0.4,1.723865270614624,0.05,,,20,0.6062000000000001,0.03343740420547024
20,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=1,24.749006509780887,0.01,99.0,0.75,20,0.9108999999999998,0.2242569731357311
21,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=0.4,3.5280272960662837,0.05,99.0,1.0,20,0.9829000000000001,0.04818495615853562
22,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,gaussians_sd=2,6.908785581588745,0.1,,,20,0.9997000000000001,0.0005567764362829748
23,gaussian,15.0,knn,0.2,GTAM,,False,0.25,gaussians_sd=2,22.02792525291443,0.1,99.0,0.0,20,0.9759999999999998,2.220446049250313e-16
24,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,gaussians_sd=1,9.745739936828613,0.01,,,20,0.79605,0.05973062447354791
25,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,gaussians_sd=2,0.4778885841369629,0.05,,,20,0.7102999999999999,0.042884845808280565
26,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=3,23.364884853363037,0.1,99.0,1.0,20,0.7865,0.28010863963826604
27,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,gaussians_sd=0.4,8.264513731002808,0.05,,,20,0.6837,0.02868815086407626
28,gaussian,15.0,knn,0.2,LDST,,False,0.25,gaussians_sd=3,25.2542576789856,0.01,99.0,0.25,20,0.84855,0.29860952345831165
29,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,gaussians_sd=3,7.848787307739258,0.1,,,20,0.8521500000000002,0.022939649081884412
30,gaussian,15.0,knn,0.2,LGC,0.4,False,0.4,gaussians_sd=2,1.900613784790039,0.05,,,20,0.61725,0.03347218994926981
31,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=3,9.48251175880432,0.05,99.0,0.1,20,0.9943500000000001,0.0009096702699329985
32,gaussian,15.0,knn,0.2,LGC,0.4,False,0.25,gaussians_sd=2,2.537325859069824,0.05,,,20,0.79055,0.0353998234458874
33,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=2,24.799620866775516,0.01,99.0,0.25,20,0.7314999999999999,0.2934914819888305
34,gaussian,15.0,knn,0.2,LGC,0.4,False,0.0,gaussians_sd=0.4,0.6630182266235352,0.1,,,20,0.9993000000000001,0.0013453624047073428
35,gaussian,15.0,knn,0.2,LGC,0.99,False,0.3,gaussians_sd=1,7.753903150558473,0.05,,,20,0.9935500000000002,0.009447089498888023
36,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=1,25.078519344329834,0.1,99.0,0.75,20,0.9955499999999999,0.0017741194999210258
37,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=0.4,9.451883077621462,0.05,99.0,0.25,20,0.9975500000000002,0.0007399324293474595
38,gaussian,15.0,knn,0.2,LGC,0.4,False,0.35,gaussians_sd=3,7.8900392055511475,0.01,,,20,0.6217,0.07068670313432367
39,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=3,9.768915414810179,0.05,99.0,0.25,20,0.9193,0.21394534348753658
40,gaussian,15.0,knn,0.2,LGC,0.99,False,0.25,gaussians_sd=0.4,7.71103835105896,0.1,,,20,0.9999500000000001,0.00021794494717700965
41,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,gaussians_sd=1,0.6829051971435547,0.1,,,20,0.72825,0.04056707408724469
42,gaussian,15.0,knn,0.2,LDST,,False,0.1,gaussians_sd=3,25.24729895591736,0.05,99.0,0.75,20,0.99605,0.0010712142642814438
43,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=2,23.485785007476807,0.1,99.0,1.0,20,0.9932999999999998,0.003835361782153008
44,gaussian,15.0,knn,0.2,LGC,0.99,False,0.15,gaussians_sd=2,7.227193117141724,0.05,,,20,0.9999500000000001,0.00021794494717700965
45,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,gaussians_sd=3,6.182535886764526,0.01,,,20,0.77965,0.04269341284085872
46,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=1,9.240530014038086,0.1,99.0,0.1,20,0.9856499999999999,0.0016209565077447404
47,gaussian,15.0,knn,0.2,LDST,,False,0.3,gaussians_sd=0.4,8.55733060836792,0.05,99.0,0.25,20,0.9045500000000001,0.22385318291237227
48,gaussian,15.0,knn,0.2,LDST,,False,0.2,gaussians_sd=3,22.670189380645752,0.1,99.0,0.1,20,0.9840500000000004,0.0014309088021254176
49,gaussian,15.0,knn,0.2,LGC,0.99,False,0.25,gaussians_sd=2,8.843547105789186,0.05,,,20,0.9995499999999999,0.0007399324293474255
50,gaussian,15.0,knn,0.2,LDST,,False,0.35,gaussians_sd=2,23.03199052810669,0.05,99.0,0.75,20,0.7912000000000001,0.32049471134482077
51,gaussian,15.0,knn,0.2,LDST,,False,0.4,gaussians_sd=0.4,24.738123893737797,0.05,99.0,0.5,20,0.7086,0.3407929576737172
52,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,gaussians_sd=3,2.364332914352417,0.1,,,20,0.9362999999999999,0.02274664810472083
53,gaussian,15.0,knn,0.2,LGC,0.4,False,0.1,gaussians_sd=0.4,0.8857171535491943,0.01,,,20,0.80695,0.04733336561031763
54,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.4,gaussians_sd=2,7.623929738998412,0.05,,,20,1.0,0.0
