,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
0,gaussian,15.0,knn,0.2,LGC,0.99,False,0.35,spiral_hard,10.06674861907959,0.1,,,20,0.7843333333333333,0.05883441925343437
1,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,44.23156642913818,0.01,99.0,1.0,20,0.8027666666666666,0.3098208998760413
2,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,20.781447410583496,0.05,99.0,0.25,20,0.8461333333333334,0.27614461589697686
3,gaussian,15.0,knn,0.2,LGC,0.9,False,0.4,spiral,1.6984748840332031,0.01,,,20,0.6279,0.0708736826254209
4,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,42.27739429473878,0.05,99.0,0.5,20,0.9730666666666667,0.060360914505994706
5,gaussian,15.0,knn,0.2,LGC,0.99,False,0.1,spiral,8.066514015197754,0.1,,,20,0.9994,0.0026153393661244068
6,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,spiral,9.17469835281372,0.01,,,20,0.7272000000000001,0.06636786370927825
7,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,41.36713218688965,0.1,99.0,0.1,20,0.9758333333333334,0.003154362059117487
8,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral,6.752957105636598,0.01,,,20,0.9798333333333333,0.038852355855926606
9,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,20.10361242294311,0.01,99.0,0.25,20,0.8851666666666667,0.20256794470552894
10,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral_hard,43.4737811088562,0.05,99.0,0.5,20,0.8547,0.24865285707856513
11,gaussian,15.0,knn,0.2,LGC,0.4,False,0.25,spiral_hard,0.2173748016357422,0.5,,,20,0.8466333333333335,0.005904706220935594
12,gaussian,15.0,knn,0.2,LGC,0.4,False,0.25,spiral_hard,1.214838981628418,0.05,,,20,0.7452000000000001,0.02667133292507142
13,gaussian,15.0,knn,0.2,GTAM,,False,0.25,spiral,46.558119773864746,0.1,99.0,0.0,20,0.969166666666667,0.023973944189473732
14,gaussian,15.0,knn,0.2,GTAM,,False,0.3,spiral_hard,34.88062596321106,0.5,99.0,0.0,20,0.8342666666666666,0.008056467381344426
15,gaussian,15.0,knn,0.2,LGC,0.2,False,0.1,spiral_hard,8.95658612251282,0.05,,,20,0.8602666666666666,0.02459936765221596
16,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,10.419270992279053,0.05,,,20,0.7198666666666667,0.020484791106249213
17,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,36.939687967300415,0.5,99.0,0.5,20,0.9347,0.014973272484293136
18,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,spiral,4.50690770149231,0.5,,,20,0.7446666666666666,0.010620734437881408
19,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral,50.30077242851257,0.1,99.0,1.0,20,0.9972,0.003442221504913451
20,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,45.332669258117676,0.05,99.0,0.5,20,0.9224,0.1660929324872742
21,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,13.844527244567873,0.05,99.0,0.1,20,0.8421666666666667,0.30242419619541766
22,gaussian,15.0,knn,0.2,LGC,0.99,False,0.15,spiral_hard,8.026359081268309,0.5,,,20,0.9877999999999998,0.0014313940369055735
23,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral,5.99211859703064,0.01,,,20,0.8451333333333334,0.05147301342559139
24,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,45.97099161148071,0.01,99.0,0.5,20,0.8746999999999998,0.2656530297629263
25,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.35,spiral,6.815940618515015,0.1,,,20,0.6852666666666667,0.025724091604736786
26,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral,21.584028720855713,0.05,99.0,0.25,20,0.8424333333333334,0.30256086807267213
27,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,spiral_hard,8.515784502029419,0.1,,,20,0.6125999999999999,0.02275170323294499
28,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,spiral,2.937744140625,0.05,,,20,0.7743333333333332,0.0276377358776808
29,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.3,spiral_hard,7.266947031021117,0.5,,,20,0.8854333333333333,0.08945819011011667
30,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral_hard,7.835600137710571,0.5,,,20,0.9782666666666666,0.0122409149984795
31,gaussian,15.0,knn,0.2,GTAM,,False,0.25,spiral_hard,21.80695629119873,0.1,99.0,0.0,20,0.9578000000000003,0.015650488100304675
32,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.3,spiral_hard,9.48921036720276,0.5,,,20,0.7847666666666666,0.008900124843069469
33,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.0,spiral_hard,8.536711692810059,0.05,,,20,0.8323666666666668,0.09957386426389431
34,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral_hard,46.33785843849182,0.1,99.0,0.5,20,0.9277999999999998,0.1150995897280071
35,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.0,spiral_hard,11.518725872039795,0.1,,,20,0.9756,0.0037261836299952358
36,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral,52.8410484790802,0.01,99.0,1.0,20,0.8192666666666666,0.33620350318751224
37,gaussian,15.0,knn,0.2,LGC,0.4,False,0.3,spiral_hard,1.1957154273986816,0.5,,,20,0.8019999999999999,0.010334408546211059
38,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral,20.652981996536255,0.05,99.0,0.1,20,0.9815333333333335,0.05679244863731639
39,gaussian,15.0,knn,0.2,GTAM,,False,0.15,spiral,43.88222336769104,0.01,99.0,0.0,20,0.9607666666666667,0.16520226996019158
40,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,33.73857450485229,0.5,99.0,0.25,20,0.9707666666666667,0.0015531330342962429
41,gaussian,15.0,knn,0.2,LGC,0.4,False,0.35,spiral,1.885868549346924,0.5,,,20,0.7545333333333334,0.011693492967363411
