,aff_sigma,corruption_level,can_plot,aff_k,algorithm,labeled_percent,aff_dist_func,aff_mask_func,dataset,elapsed_time,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
0,0.2,0.0,False,15.0,LP,0.01,gaussian,knn,spiral_hard,3.8808188438415527,20,0.7713333333333334,0.06319915611250937,"[0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.6940000000000001, 0.818, 0.818, 0.818, 0.818, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334, 0.8253333333333334]",0.6940000000000001,0.8253333333333334,0.818
1,0.2,0.2,False,15.0,LP,0.1,gaussian,knn,spiral,0.5281808376312256,20,0.9391999999999999,0.020816232981871605,"[0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.9213333333333332, 0.924, 0.924, 0.924, 0.924, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668]",0.9213333333333332,0.9646666666666668,0.924
2,0.2,0.15,False,15.0,LP,0.05,gaussian,knn,spiral_hard,2.1814165115356445,20,0.8994666666666665,0.018078348007123515,"[0.8653333333333333, 0.8653333333333333, 0.8653333333333333, 0.8653333333333333, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9013333333333332, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666, 0.9146666666666666]",0.8653333333333333,0.9146666666666666,0.9013333333333332
3,0.2,0.35,False,15.0,LP,0.01,gaussian,knn,spiral_hard,3.88468074798584,20,0.6353333333333333,0.06171907682754535,"[0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.5666666666666667, 0.634, 0.634, 0.634, 0.634, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667, 0.7046666666666667]",0.5666666666666667,0.7046666666666667,0.634
4,0.2,0.1,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.4200756549835205,20,0.9438666666666669,0.001543444920372021,"[0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9420000000000001, 0.9446666666666668, 0.9446666666666668, 0.9446666666666668, 0.9446666666666668, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334]",0.9420000000000001,0.9453333333333334,0.9446666666666668
5,0.2,0.35,False,15.0,LP,0.05,gaussian,knn,spiral,2.201608180999756,20,0.7517333333333333,0.020254382241875465,"[0.716, 0.716, 0.716, 0.716, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333, 0.7713333333333333]",0.716,0.7713333333333333,0.75
6,0.2,0.4,False,15.0,LP,0.1,gaussian,knn,spiral,5.22310209274292,20,0.6590666666666667,0.04769458389936253,"[0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.6026666666666667, 0.674, 0.674, 0.674, 0.674, 0.708, 0.708, 0.708, 0.708, 0.708, 0.708, 0.708, 0.708]",0.6026666666666667,0.708,0.674
7,0.2,0.0,False,15.0,LP,0.01,gaussian,knn,spiral,3.0334150791168213,20,1.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,1.0,1.0
8,0.2,0.3,False,15.0,LP,0.5,gaussian,knn,spiral,1.6202468872070312,20,0.8252,0.006855978737163984,"[0.8166666666666667, 0.8166666666666667, 0.8166666666666667, 0.8166666666666667, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8213333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",0.8166666666666667,0.8333333333333334,0.8213333333333334
9,0.2,0.35,False,15.0,LP,0.5,gaussian,knn,spiral_hard,1.175283670425415,20,0.7480000000000001,0.016918103387266018,"[0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7273333333333334, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.764, 0.764, 0.764, 0.764]",0.7273333333333334,0.764,0.7606666666666667
10,0.2,0.4,False,15.0,LP,0.05,gaussian,knn,spiral_hard,2.2983217239379883,20,0.6706666666666666,0.07524537638065659,"[0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6053333333333333, 0.6173333333333333, 0.6173333333333333, 0.6173333333333333, 0.6173333333333333, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667, 0.7626666666666667]",0.6053333333333333,0.7626666666666667,0.6173333333333333
11,0.2,0.2,False,15.0,LP,0.05,gaussian,knn,spiral,7.105143070220947,20,0.9046666666666667,0.021672306958164123,"[0.8646666666666667, 0.8646666666666667, 0.8646666666666667, 0.8646666666666667, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.9053333333333332, 0.924, 0.924, 0.924, 0.924, 0.924, 0.924, 0.924, 0.924]",0.8646666666666667,0.924,0.9053333333333332
12,0.2,0.15,False,15.0,LP,0.01,gaussian,knn,spiral_hard,3.775928735733032,20,0.6164000000000001,0.022169448447005684,"[0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.5913333333333334, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6253333333333333, 0.6486666666666666, 0.6486666666666666, 0.6486666666666666, 0.6486666666666666]",0.5913333333333334,0.6486666666666666,0.6253333333333333
13,0.2,0.35,False,15.0,LP,0.5,gaussian,knn,spiral,3.8834459781646733,20,0.7661333333333333,0.008352245207128413,"[0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7606666666666667, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7633333333333333, 0.7826666666666666, 0.7826666666666666, 0.7826666666666666, 0.7826666666666666]",0.7606666666666667,0.7826666666666666,0.7633333333333333
14,0.2,0.15,False,15.0,LP,0.05,gaussian,knn,spiral,1.5761384963989258,20,0.8918666666666667,0.03923128003689569,"[0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.8440000000000001, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.9206666666666666, 0.93, 0.93, 0.93, 0.93]",0.8440000000000001,0.93,0.9206666666666666
