,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc
0,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral,0.075,6.51575231552124,0.1,99.0,2.0,20,0.9924,0.0012000000000000233
1,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,0.04,5.845809459686278,0.1,99.0,2.0,20,0.84365,0.2818228654669454
2,gaussian,15.0,knn,0.2,GTAM,,False,0.4,spiral,0.15,5.834130048751831,0.1,99.0,0.0,20,0.8009999999999998,0.23696413230698016
3,gaussian,15.0,knn,0.2,LGC,0.9,False,0.25,spiral,0.04,1.1287004947662354,0.1,,,20,0.88935,0.04104908646973767
4,gaussian,15.0,knn,0.2,RF,,False,0.2,spiral,0.04,0.4389839172363281,0.1,,,20,0.8452,0.01849216050114211
5,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,spiral,0.075,1.8273153305053709,0.1,,,20,0.6305999999999999,0.030424332367366757
6,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.0,spiral,0.15,1.7082536220550537,0.1,,,20,0.98345,0.006336205489092017
7,gaussian,15.0,knn,0.2,LGC,0.2,False,0.15,spiral,0.075,3.2251710891723637,0.1,,,20,0.8907999999999999,0.02265082779944256
8,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.15,spiral,0.075,1.915396213531494,0.1,,,20,0.9997999999999999,0.00039999999999995595
9,gaussian,15.0,knn,0.2,RF,,False,0.25,spiral,0.15,0.4791562557220459,0.1,,,20,0.8013499999999999,0.030110255727907743
10,gaussian,15.0,knn,0.2,LGC,0.2,False,0.2,spiral,0.04,0.5988526344299316,0.1,,,20,0.8487500000000001,0.022140178409398595
11,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,spiral,0.075,1.8449406623840328,0.1,,,20,0.9628000000000002,0.021823381956058048
12,gaussian,15.0,knn,0.2,LGC,0.9,False,0.3,spiral,0.04,1.2382793426513672,0.1,,,20,0.80565,0.033736145304406086
13,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral,0.04,5.965210676193237,0.1,99.0,1.0,20,0.88895,0.21744481483815611
14,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,0.075,1.2048377990722656,0.1,,,20,0.74615,0.03464574288422748
15,gaussian,15.0,knn,0.2,LGC,0.2,False,0.0,spiral,0.075,2.1464529037475586,0.1,,,20,0.9986500000000001,0.004089926649709021
16,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,0.15,1.628263235092163,0.1,99.0,2.0,20,0.9894999999999999,0.004410215414240003
17,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,0.04,1.262939214706421,0.1,,,20,0.73075,0.03461195602678356
18,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.15,spiral,0.075,1.3573033809661863,0.1,,,20,0.87355,0.021708235764336073
19,gaussian,15.0,knn,0.2,LGC,0.9,False,0.0,spiral,0.1,1.3886516094207764,0.1,,,20,0.99895,0.0014991664350564788
20,gaussian,15.0,knn,0.2,GTAM,,False,0.4,spiral,0.04,5.476561546325684,0.1,99.0,0.0,20,0.8339000000000001,0.1983370615896081
