,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,dataset_sd,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
0,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral,0.2,13.52416467666626,0.01,99.0,2.0,20,0.7568,0.26716148674537654,"[0.179, 0.19, 0.23600000000000002, 0.5489999999999999, 0.579, 0.604, 0.752, 0.809, 0.8640000000000001, 0.8909999999999999, 0.9129999999999999, 0.9179999999999999, 0.927, 0.9520000000000001, 0.9540000000000001, 0.956, 0.961, 0.961, 0.968, 0.973]",0.179,0.973,0.9019999999999999
1,gaussian,15.0,knn,0.2,LGC,0.9,False,0.1,spiral,0.04,0.7594223022460938,0.01,,,20,0.79125,0.09436995019602376,"[0.602, 0.6509999999999999, 0.667, 0.6759999999999999, 0.6859999999999999, 0.733, 0.747, 0.758, 0.775, 0.8109999999999999, 0.8320000000000001, 0.848, 0.852, 0.8540000000000001, 0.858, 0.862, 0.877, 0.889, 0.893, 0.9540000000000001]",0.602,0.9540000000000001,0.8215
2,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral,0.1,11.106544494628906,0.01,99.0,2.0,20,0.6875499999999999,0.3704724652386463,"[0.005, 0.005, 0.18600000000000003, 0.195, 0.23600000000000002, 0.26899999999999996, 0.684, 0.745, 0.75, 0.76, 0.9390000000000001, 0.996, 0.996, 0.997, 0.997, 0.998, 0.998, 0.998, 0.998, 0.9990000000000001]",0.005,0.9990000000000001,0.8495
3,gaussian,15.0,knn,0.2,LGC,0.2,False,0.1,spiral,0.1,4.726214408874512,0.1,,,20,0.9306499999999998,0.01870902188784867,"[0.899, 0.9, 0.9059999999999999, 0.909, 0.9109999999999999, 0.919, 0.9209999999999999, 0.9259999999999999, 0.9259999999999999, 0.932, 0.9329999999999999, 0.934, 0.9390000000000001, 0.94, 0.9440000000000001, 0.9520000000000001, 0.9520000000000001, 0.9540000000000001, 0.955, 0.961]",0.899,0.961,0.9325
4,gaussian,15.0,knn,0.2,LGC,0.2,False,0.3,spiral,0.15,2.560981750488281,0.1,,,20,0.7334500000000002,0.031908423652697075,"[0.691, 0.6990000000000001, 0.705, 0.7070000000000001, 0.708, 0.7120000000000001, 0.716, 0.7170000000000001, 0.722, 0.7240000000000001, 0.7290000000000001, 0.7290000000000001, 0.73, 0.737, 0.745, 0.747, 0.768, 0.7709999999999999, 0.7909999999999999, 0.821]",0.691,0.821,0.7265000000000001
5,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.4,spiral,0.04,1.42030930519104,0.01,,,20,0.63515,0.07573194504302659,"[0.45899999999999996, 0.518, 0.526, 0.5479999999999999, 0.5820000000000001, 0.589, 0.594, 0.607, 0.65, 0.65, 0.667, 0.677, 0.6859999999999999, 0.688, 0.6990000000000001, 0.703, 0.7090000000000001, 0.71, 0.713, 0.728]",0.45899999999999996,0.728,0.6585000000000001
6,gaussian,15.0,knn,0.2,RF,,False,0.15,spiral,0.1,0.599895715713501,0.01,,,20,0.74895,0.09821276648175632,"[0.449, 0.609, 0.634, 0.654, 0.693, 0.728, 0.737, 0.7490000000000001, 0.7609999999999999, 0.769, 0.777, 0.782, 0.797, 0.815, 0.818, 0.826, 0.833, 0.835, 0.8540000000000001, 0.8590000000000001]",0.449,0.8590000000000001,0.773
7,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral,0.2,7.141379356384277,0.01,99.0,0.25,20,0.9150500000000001,0.06402927065022682,"[0.7140000000000001, 0.8270000000000001, 0.84, 0.85, 0.889, 0.898, 0.902, 0.9079999999999999, 0.92, 0.941, 0.9470000000000001, 0.9520000000000001, 0.953, 0.9570000000000001, 0.961, 0.963, 0.965, 0.966, 0.97, 0.978]",0.7140000000000001,0.978,0.944
8,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,spiral,0.04,1.4964020252227783,0.1,,,20,0.9659500000000001,0.013403264527718596,"[0.934, 0.9420000000000001, 0.9490000000000001, 0.956, 0.9570000000000001, 0.96, 0.9620000000000001, 0.9640000000000001, 0.965, 0.966, 0.966, 0.971, 0.971, 0.972, 0.973, 0.98, 0.981, 0.981, 0.9840000000000001, 0.985]",0.934,0.985,0.966
9,gaussian,15.0,knn,0.2,LGC,0.9,False,0.35,spiral,0.04,0.5450911521911621,0.01,,,20,0.6064999999999999,0.1002369692279251,"[0.43, 0.473, 0.475, 0.488, 0.518, 0.5329999999999999, 0.5539999999999999, 0.568, 0.573, 0.611, 0.626, 0.628, 0.657, 0.664, 0.665, 0.691, 0.6920000000000001, 0.7070000000000001, 0.765, 0.812]",0.43,0.812,0.6185
